date,team1,team2,score1,score2,win,lose,pre_win,pre_lose,pre_probability
2019/3/20,OAK,SEA,7,9,SEA,OAK,OAK,SEA,0.515009204
2019/3/21,OAK,SEA,4,5,SEA,OAK,OAK,SEA,0.515009204
2019/3/28,NYY,BAL,7,2,NYY,BAL,NYY,BAL,0.564288448
2019/3/28,WSN,NYM,0,2,NYM,WSN,NYM,WSN,0.525668383
2019/3/28,MIL,STL,5,4,MIL,STL,STL,MIL,0.538802539
2019/3/28,PHI,ATL,10,4,PHI,ATL,ATL,PHI,0.542427764
2019/3/28,TOR,DET,0,2,DET,TOR,DET,TOR,0.522419303
2019/3/28,LAD,ARI,12,5,LAD,ARI,LAD,ARI,0.508664162
2019/3/28,TBR,HOU,1,5,HOU,TBR,TBR,HOU,0.555154186
2019/3/28,TEX,CHC,4,12,CHC,TEX,CHC,TEX,0.52799806
2019/3/28,OAK,LAA,4,0,OAK,LAA,LAA,OAK,0.524814561
2019/3/28,CIN,PIT,5,3,CIN,PIT,PIT,CIN,0.538053342
2019/3/28,MIA,COL,3,6,COL,MIA,COL,MIA,0.542664605
2019/3/28,MIN,CLE,2,0,MIN,CLE,CLE,MIN,0.555809704
2019/3/28,SDP,SFG,2,0,SDP,SFG,SFG,SDP,0.595266832
2019/3/28,KCR,CHW,5,3,KCR,CHW,CHW,KCR,0.532154031
2019/3/28,SEA,BOS,12,4,SEA,BOS,BOS,SEA,0.606653919
2019/3/29,TOR,DET,6,0,TOR,DET,DET,TOR,0.522419303
2019/3/29,MIA,COL,1,6,COL,MIA,COL,MIA,0.542664605
2019/3/29,TBR,HOU,4,2,TBR,HOU,TBR,HOU,0.555154186
2019/3/29,MIL,STL,5,9,STL,MIL,STL,MIL,0.538802539
2019/3/29,OAK,LAA,2,6,LAA,OAK,LAA,OAK,0.524814561
2019/3/29,LAD,ARI,4,5,ARI,LAD,LAD,ARI,0.508664162
2019/3/29,SDP,SFG,4,1,SDP,SFG,SFG,SDP,0.595266832
2019/3/29,SEA,BOS,6,7,BOS,SEA,BOS,SEA,0.606653919
2019/3/30,NYY,BAL,3,5,BAL,NYY,NYY,BAL,0.564288448
2019/3/30,WSN,NYM,8,11,NYM,WSN,NYM,WSN,0.525668383
2019/3/30,MIN,CLE,1,2,CLE,MIN,CLE,MIN,0.555809704
2019/3/30,KCR,CHW,8,6,KCR,CHW,CHW,KCR,0.532154031
2019/3/30,TOR,DET,3,0,TOR,DET,DET,TOR,0.522419303
2019/3/30,PHI,ATL,8,6,PHI,ATL,ATL,PHI,0.542427764
2019/3/30,MIA,COL,7,3,MIA,COL,COL,MIA,0.542664605
2019/3/30,TBR,HOU,3,1,TBR,HOU,TBR,HOU,0.555154186
2019/3/30,MIL,STL,4,2,MIL,STL,STL,MIL,0.538802539
2019/3/30,TEX,CHC,8,6,TEX,CHC,CHC,TEX,0.52799806
2019/3/30,SDP,SFG,2,3,SFG,SDP,SFG,SDP,0.595266832
2019/3/30,OAK,LAA,4,2,OAK,LAA,LAA,OAK,0.524814561
2019/3/30,LAD,ARI,18,5,LAD,ARI,LAD,ARI,0.508664162
2019/3/30,SEA,BOS,6,5,SEA,BOS,BOS,SEA,0.606653919
2019/3/31,NYY,BAL,5,7,BAL,NYY,NYY,BAL,0.564288448
2019/3/31,TOR,DET,3,4,DET,TOR,DET,TOR,0.522419303
2019/3/31,CIN,PIT,0,5,PIT,CIN,PIT,CIN,0.538053342
2019/3/31,MIA,COL,3,0,MIA,COL,COL,MIA,0.542664605
2019/3/31,TBR,HOU,3,1,TBR,HOU,TBR,HOU,0.555154186
